kodu,lõppseis,võõras,aasta,koduväravad,võõraväravad
Paide Linnameeskond,4 - 0,Viljandi JK Tulevik,2018,4.0,0.0
JK Tallinna Kalev,0 - 4,Tallinna FCI Levadia,2018,0.0,4.0
Nõmme Kalju FC,8 - 3,FC Kuressaare,2018,8.0,3.0
JK Narva Trans,6 - 0,Pärnu JK Vaprus,2018,6.0,0.0
Tallinna FC Flora,3 - 1,Tartu JK Tammeka,2018,3.0,1.0
FC Kuressaare,0 - 5,JK Narva Trans,2018,0.0,5.0
Tallinna FC Flora,1 - 0,Viljandi JK Tulevik,2018,1.0,0.0
Tallinna FCI Levadia,1 - 1,Paide Linnameeskond,2018,1.0,1.0
JK Tallinna Kalev,0 - 1,Tartu JK Tammeka,2018,0.0,1.0
Nõmme Kalju FC,7 - 0,Pärnu JK Vaprus,2018,7.0,0.0
Tallinna FC Flora,6 - 0,Paide Linnameeskond,2018,6.0,0.0
Pärnu JK Vaprus,0 - 1,Tartu JK Tammeka,2018,0.0,1.0
Viljandi JK Tulevik,1 - 0,JK Tallinna Kalev,2018,1.0,0.0
JK Narva Trans,2 - 2,Nõmme Kalju FC,2018,2.0,2.0
Tallinna FCI Levadia,4 - 0,FC Kuressaare,2018,4.0,0.0
Paide Linnameeskond,2 - 2,Pärnu JK Vaprus,2018,2.0,2.0
JK Tallinna Kalev,1 - 2,JK Narva Trans,2018,1.0,2.0
Tartu JK Tammeka,0 - 3,Tallinna FCI Levadia,2018,0.0,3.0
FC Kuressaare,3 - 1,Viljandi JK Tulevik,2018,3.0,1.0
Nõmme Kalju FC,2 - 0,Tallinna FC Flora,2018,2.0,0.0
JK Narva Trans,1 - 0,Paide Linnameeskond,2018,1.0,0.0
JK Tallinna Kalev,5 - 0,FC Kuressaare,2018,5.0,0.0
Tallinna FC Flora,5 - 0,Pärnu JK Vaprus,2018,5.0,0.0
Viljandi JK Tulevik,0 - 7,Tallinna FCI Levadia,2018,0.0,7.0
Nõmme Kalju FC,1 - 0,Tartu JK Tammeka,2018,1.0,0.0
FC Kuressaare,0 - 4,Tartu JK Tammeka,2018,0.0,4.0
Paide Linnameeskond,1 - 4,Nõmme Kalju FC,2018,1.0,4.0
Pärnu JK Vaprus,1 - 1,Viljandi JK Tulevik,2018,1.0,1.0
Tallinna FCI Levadia,5 - 0,JK Narva Trans,2018,5.0,0.0
Tallinna FC Flora,1 - 0,JK Tallinna Kalev,2018,1.0,0.0
Tartu JK Tammeka,5 - 2,Paide Linnameeskond,2018,5.0,2.0
JK Narva Trans,2 - 0,Viljandi JK Tulevik,2018,2.0,0.0
FC Kuressaare,0 - 7,Tallinna FC Flora,2018,0.0,7.0
JK Tallinna Kalev,4 - 2,Pärnu JK Vaprus,2018,4.0,2.0
Tallinna FCI Levadia,2 - 2,Nõmme Kalju FC,2018,2.0,2.0
Pärnu JK Vaprus,0 - 5,Tallinna FCI Levadia,2018,0.0,5.0
Paide Linnameeskond,3 - 1,FC Kuressaare,2018,3.0,1.0
Tallinna FC Flora,0 - 0,JK Narva Trans,2018,0.0,0.0
Viljandi JK Tulevik,0 - 2,Tartu JK Tammeka,2018,0.0,2.0
Nõmme Kalju FC,3 - 0,JK Tallinna Kalev,2018,3.0,0.0
JK Tallinna Kalev,2 - 3,Paide Linnameeskond,2018,2.0,3.0
Tartu JK Tammeka,1 - 1,JK Narva Trans,2018,1.0,1.0
Viljandi JK Tulevik,0 - 6,Nõmme Kalju FC,2018,0.0,6.0
Tallinna FCI Levadia,2 - 1,Tallinna FC Flora,2018,2.0,1.0
Pärnu JK Vaprus,1 - 1,FC Kuressaare,2018,1.0,1.0
Tartu JK Tammeka,4 - 2,Pärnu JK Vaprus,2018,4.0,2.0
Viljandi JK Tulevik,0 - 6,Tallinna FC Flora,2018,0.0,6.0
FC Kuressaare,0 - 3,Nõmme Kalju FC,2018,0.0,3.0
JK Narva Trans,2 - 2,JK Tallinna Kalev,2018,2.0,2.0
Paide Linnameeskond,1 - 3,Tallinna FCI Levadia,2018,1.0,3.0
Nõmme Kalju FC,5 - 2,JK Narva Trans,2018,5.0,2.0
Paide Linnameeskond,0 - 2,Tallinna FC Flora,2018,0.0,2.0
FC Kuressaare,1 - 0,JK Tallinna Kalev,2018,1.0,0.0
Tallinna FCI Levadia,3 - 1,Tartu JK Tammeka,2018,3.0,1.0
Viljandi JK Tulevik,2 - 1,Pärnu JK Vaprus,2018,2.0,1.0
Tartu JK Tammeka,1 - 2,FC Kuressaare,2018,1.0,2.0
JK Narva Trans,1 - 1,Tallinna FCI Levadia,2018,1.0,1.0
Pärnu JK Vaprus,1 - 1,Paide Linnameeskond,2018,1.0,1.0
JK Tallinna Kalev,1 - 2,Viljandi JK Tulevik,2018,1.0,2.0
Tallinna FC Flora,3 - 3,Nõmme Kalju FC,2018,3.0,3.0
JK Narva Trans,3 - 0,FC Kuressaare,2018,3.0,0.0
JK Tallinna Kalev,1 - 3,Tallinna FC Flora,2018,1.0,3.0
Tallinna FCI Levadia,5 - 0,Viljandi JK Tulevik,2018,5.0,0.0
Pärnu JK Vaprus,0 - 6,Nõmme Kalju FC,2018,0.0,6.0
Paide Linnameeskond,3 - 3,Tartu JK Tammeka,2018,3.0,3.0
Tallinna FCI Levadia,3 - 0,JK Tallinna Kalev,2018,3.0,0.0
Tartu JK Tammeka,1 - 1,Nõmme Kalju FC,2018,1.0,1.0
Pärnu JK Vaprus,1 - 8,Tallinna FC Flora,2018,1.0,8.0
Viljandi JK Tulevik,0 - 6,JK Narva Trans,2018,0.0,6.0
FC Kuressaare,1 - 4,Paide Linnameeskond,2018,1.0,4.0
JK Narva Trans,4 - 1,Tartu JK Tammeka,2018,4.0,1.0
Nõmme Kalju FC,2 - 1,Tallinna FCI Levadia,2018,2.0,1.0
Tallinna FC Flora,2 - 1,FC Kuressaare,2018,2.0,1.0
Viljandi JK Tulevik,1 - 1,Paide Linnameeskond,2018,1.0,1.0
Pärnu JK Vaprus,0 - 4,JK Tallinna Kalev,2018,0.0,4.0
Paide Linnameeskond,0 - 2,JK Narva Trans,2018,0.0,2.0
Tartu JK Tammeka,0 - 0,Viljandi JK Tulevik,2018,0.0,0.0
JK Tallinna Kalev,2 - 2,Nõmme Kalju FC,2018,2.0,2.0
FC Kuressaare,1 - 3,Pärnu JK Vaprus,2018,1.0,3.0
Tallinna FC Flora,2 - 2,Tallinna FCI Levadia,2018,2.0,2.0
Tallinna FCI Levadia,6 - 1,Pärnu JK Vaprus,2018,6.0,1.0
Viljandi JK Tulevik,1 - 3,FC Kuressaare,2018,1.0,3.0
JK Narva Trans,2 - 4,Tallinna FC Flora,2018,2.0,4.0
Nõmme Kalju FC,3 - 2,Paide Linnameeskond,2018,3.0,2.0
JK Tallinna Kalev,2 - 1,Tartu JK Tammeka,2018,2.0,1.0
Nõmme Kalju FC,8 - 2,Viljandi JK Tulevik,2018,8.0,2.0
Pärnu JK Vaprus,0 - 4,JK Narva Trans,2018,0.0,4.0
FC Kuressaare,1 - 1,Tallinna FCI Levadia,2018,1.0,1.0
Paide Linnameeskond,2 - 0,JK Tallinna Kalev,2018,2.0,0.0
Tartu JK Tammeka,0 - 3,Tallinna FC Flora,2018,0.0,3.0
Tallinna FC Flora,4 - 0,Viljandi JK Tulevik,2018,4.0,0.0
JK Tallinna Kalev,3 - 0,FC Kuressaare,2018,3.0,0.0
Tallinna FCI Levadia,4 - 0,Paide Linnameeskond,2018,4.0,0.0
Pärnu JK Vaprus,1 - 1,Tartu JK Tammeka,2018,1.0,1.0
JK Narva Trans,0 - 3,Nõmme Kalju FC,2018,0.0,3.0
Viljandi JK Tulevik,2 - 2,JK Tallinna Kalev,2018,2.0,2.0
Nõmme Kalju FC,1 - 0,Tallinna FCI Levadia,2018,1.0,0.0
Tartu JK Tammeka,2 - 1,JK Narva Trans,2018,2.0,1.0
Paide Linnameeskond,2 - 1,FC Kuressaare,2018,2.0,1.0
Pärnu JK Vaprus,0 - 6,Tallinna FC Flora,2018,0.0,6.0
Viljandi JK Tulevik,1 - 1,Pärnu JK Vaprus,2018,1.0,1.0
JK Narva Trans,1 - 2,Paide Linnameeskond,2018,1.0,2.0
Nõmme Kalju FC,1 - 1,JK Tallinna Kalev,2018,1.0,1.0
FC Kuressaare,0 - 4,Tallinna FC Flora,2018,0.0,4.0
Tallinna FCI Levadia,0 - 1,Tartu JK Tammeka,2018,0.0,1.0
Paide Linnameeskond,3 - 3,Tallinna FC Flora,2018,3.0,3.0
Nõmme Kalju FC,4 - 0,FC Kuressaare,2018,4.0,0.0
Tallinna FCI Levadia,6 - 1,JK Narva Trans,2018,6.0,1.0
Tartu JK Tammeka,1 - 0,Viljandi JK Tulevik,2018,1.0,0.0
Pärnu JK Vaprus,2 - 4,JK Tallinna Kalev,2018,2.0,4.0
JK Narva Trans,4 - 1,Viljandi JK Tulevik,2018,4.0,1.0
FC Kuressaare,1 - 3,Tartu JK Tammeka,2018,1.0,3.0
Paide Linnameeskond,0 - 3,Nõmme Kalju FC,2018,0.0,3.0
Pärnu JK Vaprus,0 - 4,Tallinna FCI Levadia,2018,0.0,4.0
Tallinna FC Flora,3 - 1,JK Tallinna Kalev,2018,3.0,1.0
Tallinna FC Flora,5 - 0,Tartu JK Tammeka,2018,5.0,0.0
Viljandi JK Tulevik,0 - 3,Paide Linnameeskond,2018,0.0,3.0
Nõmme Kalju FC,4 - 0,Pärnu JK Vaprus,2018,4.0,0.0
Tallinna FCI Levadia,4 - 0,FC Kuressaare,2018,4.0,0.0
JK Tallinna Kalev,0 - 1,JK Narva Trans,2018,0.0,1.0
Viljandi JK Tulevik,2 - 5,Nõmme Kalju FC,2018,2.0,5.0
FC Kuressaare,0 - 3,JK Narva Trans,2018,0.0,3.0
Pärnu JK Vaprus,0 - 3,Paide Linnameeskond,2018,0.0,3.0
Tartu JK Tammeka,1 - 0,JK Tallinna Kalev,2018,1.0,0.0
Tallinna FC Flora,3 - 0,Tallinna FCI Levadia,2018,3.0,0.0
JK Narva Trans,1 - 1,Pärnu JK Vaprus,2018,1.0,1.0
FC Kuressaare,1 - 4,Viljandi JK Tulevik,2018,1.0,4.0
Paide Linnameeskond,2 - 1,Tartu JK Tammeka,2018,2.0,1.0
Tallinna FCI Levadia,3 - 2,JK Tallinna Kalev,2018,3.0,2.0
Nõmme Kalju FC,1 - 1,Tallinna FC Flora,2018,1.0,1.0
Tartu JK Tammeka,0 - 1,Nõmme Kalju FC,2018,0.0,1.0
JK Tallinna Kalev,1 - 2,Paide Linnameeskond,2018,1.0,2.0
Tallinna FC Flora,2 - 2,JK Narva Trans,2018,2.0,2.0
Pärnu JK Vaprus,3 - 1,FC Kuressaare,2018,3.0,1.0
Viljandi JK Tulevik,0 - 4,Tallinna FCI Levadia,2018,0.0,4.0
FC Kuressaare,2 - 4,Nõmme Kalju FC,2018,2.0,4.0
JK Narva Trans,2 - 1,Tartu JK Tammeka,2018,2.0,1.0
Tallinna FCI Levadia,4 - 0,Pärnu JK Vaprus,2018,4.0,0.0
JK Tallinna Kalev,0 - 2,Viljandi JK Tulevik,2018,0.0,2.0
Tallinna FC Flora,7 - 2,Paide Linnameeskond,2018,7.0,2.0
Viljandi JK Tulevik,3 - 2,Tartu JK Tammeka,2018,3.0,2.0
FC Kuressaare,0 - 5,Tallinna FCI Levadia,2018,0.0,5.0
Paide Linnameeskond,2 - 5,JK Narva Trans,2018,2.0,5.0
Tallinna FC Flora,3 - 0,Pärnu JK Vaprus,2018,3.0,0.0
JK Tallinna Kalev,0 - 2,Nõmme Kalju FC,2018,0.0,2.0
JK Narva Trans,2 - 1,FC Kuressaare,2018,2.0,1.0
Paide Linnameeskond,1 - 4,Tallinna FCI Levadia,2018,1.0,4.0
Nõmme Kalju FC,4 - 0,Viljandi JK Tulevik,2018,4.0,0.0
Tartu JK Tammeka,5 - 0,Pärnu JK Vaprus,2018,5.0,0.0
JK Tallinna Kalev,2 - 2,Tallinna FC Flora,2018,2.0,2.0
FC Kuressaare,1 - 3,Paide Linnameeskond,2018,1.0,3.0
Pärnu JK Vaprus,0 - 3,Viljandi JK Tulevik,2018,0.0,3.0
Tartu JK Tammeka,0 - 4,Tallinna FC Flora,2018,0.0,4.0
JK Narva Trans,3 - 2,JK Tallinna Kalev,2018,3.0,2.0
Tallinna FCI Levadia,0 - 0,Nõmme Kalju FC,2018,0.0,0.0
Viljandi JK Tulevik,1 - 2,FC Kuressaare,2018,1.0,2.0
Pärnu JK Vaprus,0 - 1,JK Narva Trans,2018,0.0,1.0
JK Tallinna Kalev,1 - 4,Tallinna FCI Levadia,2018,1.0,4.0
Tartu JK Tammeka,1 - 1,Paide Linnameeskond,2018,1.0,1.0
Tallinna FC Flora,2 - 2,Nõmme Kalju FC,2018,2.0,2.0
FC Kuressaare,3 - 3,JK Tallinna Kalev,2018,3.0,3.0
Paide Linnameeskond,2 - 1,Pärnu JK Vaprus,2018,2.0,1.0
JK Narva Trans,1 - 2,Tallinna FC Flora,2018,1.0,2.0
Tallinna FCI Levadia,2 - 1,Viljandi JK Tulevik,2018,2.0,1.0
Nõmme Kalju FC,2 - 2,Tartu JK Tammeka,2018,2.0,2.0
Nõmme Kalju FC,0 - 0,Paide Linnameeskond,2018,0.0,0.0
Tallinna FC Flora,4 - 0,FC Kuressaare,2018,4.0,0.0
JK Tallinna Kalev,5 - 0,Pärnu JK Vaprus,2018,5.0,0.0
Viljandi JK Tulevik,4 - 1,JK Narva Trans,2018,4.0,1.0
Tartu JK Tammeka,0 - 3,Tallinna FCI Levadia,2018,0.0,3.0
Pärnu JK Vaprus,0 - 5,Nõmme Kalju FC,2018,0.0,5.0
